CheeseId,CheeseName,ManufacturerName,ManufacturerProvCode,ManufacturingType,WebSite,FatContentPercent,MoisturePercent,Particularities,Flavour,Characteristics,Ripening,Organic,CategoryType,MilkType,MilkTreatmentType,RindType,LastUpdateDate
664,Gouda (That Dutchman's Farm),That Dutchman's Farm,NS,Farmstead,http://www.denhoek.ca,26.67,42.00,2009 Canadian Cheese Grand Prix Category Winner,"Mild, medium, old, caraway, cumin, cumin and cloves, fines herbs, garlic, pepper mix, smoked.","Natural rind, shaped into wheels, smooth",N/A,false,Firm Cheese,Cow,Thermised,N/A,2016-02-03
665,Dragon's Breath,That Dutchman's Farm,NS,Farmstead,http://www.denhoek.ca,26.67,42.00,N/A,"Delicate, a bit spicy.",Blue cheese dipped in black wax,3 Months,false,Soft Cheese,Cow,Raw Milk,N/A,2016-02-03
667,Feta (Black Diamond),Black Diamond (Parmalat),ON,Industrial,http://www.blackdiamond.ca,22.00,55.00,2006 and 2009 Canadian Cheese Grand Prix Category Winner,Mild,N/A,Less than 1 Month,false,Fresh Cheese,Cow,Pasteurized,No Rind,2016-02-03
713,Dalhousie,Back Forty Artisan Cheese,ON,Artisan,http://www.artisancheese.ca,0.00,0.00,N/A,"Hints of butter, nuts, and fruit",N/A,N/A,false,Semi-soft Cheese,Ewe,Raw Milk,Brushed Rind,2016-02-03
714,Highland Blue,Back Forty Artisan Cheese,ON,Artisan,http://www.artisancheese.ca,0.00,0.00,N/A,Butter and mushrooms,Unpressed blue mold cheese with natural rind,N/A,false,Semi-soft Cheese,Ewe,Raw Milk,N/A,2016-02-03
715,Flower Station,Back Forty Artisan Cheese,ON,Artisan,http://www.artisancheese.ca,0.00,0.00,N/A,N/A,Feta Cheese,N/A,false,Semi-soft Cheese,Ewe,Raw Milk,No Rind,2016-02-03
716,Bonnecherre,Back Forty Artisan Cheese,ON,Artisan,http://www.artisancheese.ca,0.00,0.00,N/A,Tangy and fruity,Toasted rind,N/A,false,Semi-soft Cheese,Ewe,Raw Milk,N/A,2016-02-03
717,Snow Road,Back Forty Artisan Cheese,ON,Artisan,http://www.artisancheese.ca,0.00,0.00,N/A,Aromatic and intense flavour,Soft pale orange rind,N/A,false,Soft Cheese,Ewe,Raw Milk,Washed Rind,2016-02-03
718,French Line,Back Forty Artisan Cheese,ON,Artisan,http://www.artisancheese.ca,0.00,0.00,N/A,"Butter, nuts and vanilla",N/A,N/A,false,Firm Cheese,Ewe,Raw Milk,Brushed Rind,2016-02-03
721,Brebis frais (Best Baa Dairy),Ewenity Dairy Co-operative,ON,Artisan,http://www.ewenity.com,18.00,60.00,N/A,Mild tangy taste,Creamy,N/A,false,Fresh Cheese,Ewe,Pasteurized,No Rind,2016-02-03
722,Eweda cru (Best Baa Dairy),Ewenity Dairy Co-operative,ON,Artisan,http://www.ewenity.com,37.00,42.00,N/A,Mild,"Creamy, covered with a green wax",2 Months,false,Semi-soft Cheese,Ewe,Raw Milk,N/A,2016-02-03
723,Ramembert (Best Baa Dairy),Ewenity Dairy Co-operative,ON,Artisan,http://www.ewenity.com,25.00,55.00,N/A,N/A,"White rind, creamier than camembert",Less than 1 Month,false,Soft Cheese,Ewe,Pasteurized,Bloomy Rind,2016-02-03
724,Feta (Best Baa Dairy),Ewenity Dairy Co-operative,ON,Artisan,http://www.ewenity.com,25.00,0.00,N/A,Mild,Creamy,Less than 1 Month,false,Fresh Cheese,Ewe,Pasteurized,N/A,2016-02-03
728,Cheddar (Bright Brand),Bright Cheese and Butter Milk Manufacturing,ON,Industrial,N/A,32.00,34.00,N/A,"Mild, medium, extra-old, 4 and 5 year-old",White and orange,5 Years,false,Firm Cheese,Cow,Thermised,No Rind,2016-04-15
730,Eweda (Best Baa Dairy),Ewenity Dairy Co-operative,ON,Artisan,http://www.ewenity.com,32.00,47.00,made with gouda recipe but with a very different taste,N/A,N/A,1 Month,false,Semi-soft Cheese,Ewe,Pasteurized,N/A,2016-02-03
731,Mouton rouge (Best Baa Dairy),Ewenity Dairy Co-operative,ON,Artisan,http://www.ewenity.com,30.00,48.00,N/A,N/A,N/A,2 Months,false,Semi-soft Cheese,Ewe,Raw Milk,N/A,2016-02-03
732,Brigitte (Best Baa Dairy),Ewenity Dairy Co-operative,ON,Artisan,http://www.ewenity.com,28.00,58.00,N/A,N/A,N/A,2 Months,false,Semi-soft Cheese,Ewe,Raw Milk,N/A,2016-02-03
734,Banon,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,Cured in grape leaves,N/A,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
735,Bianco Nero,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,Pyramid shape and covered with black vegetable ash,N/A,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
736,Bliss,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,Camembert style,N/A,false,Soft Cheese,Ewe and Goat,Pasteurized,Bloomy Rind,2016-02-03
737,Goat Tomme,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,Tomme style,N/A,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
738,Toscano,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,"Italian style, natural rind cheese",N/A,false,Firm Cheese,Ewe,Pasteurized,N/A,2016-02-03
739,Ricotta (Montforte),Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Fresh Cheese,Ewe,Pasteurized,No Rind,2016-02-03
740,Piacere,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,"Covered with rosemary, chili pepper and jumper berries",N/A,N/A,false,Semi-soft Cheese,Ewe,Pasteurized,N/A,2016-02-03
741,Pecorino Fresco / Pepato Fresco,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,Pecorino style,N/A,false,Fresh Cheese,Ewe,Pasteurized,N/A,2016-02-03
742,Paradiso,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Semi-soft Cheese,Ewe,Pasteurized,Washed Rind,2016-02-03
743,Nika,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,herbs and organic garlic flowers,N/A,N/A,false,Fresh Cheese,Ewe,Pasteurized,N/A,2016-02-03
744,Halloumi,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,Arabic style cheese,N/A,false,Fresh Cheese,Ewe,Pasteurized,N/A,2016-02-03
745,Fresco,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Fresh Cheese,Ewe,Pasteurized,N/A,2016-02-03
746,Belle,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Fresh Cheese,Ewe,Pasteurized,N/A,2016-02-03
747,Baumans Smoked,Montforte Dairy Company,ON,Artisan,http://www.montfortedairy.com,0.00,0.00,N/A,Maple smoked,Inspired by the traditional oszczek,N/A,false,Firm Cheese,Ewe,Pasteurized,N/A,2016-02-03
748,Gouda (Thunder Oak),Thunder Oak Cheese Farm,ON,Farmstead,http://www.cheesefarm.ca,0.00,0.00,Dutch cheese award,"Cumin, Garlic, Pepper, fenugreek,",Creamy,N/A,false,Semi-soft Cheese,Cow,Pasteurized,N/A,2016-02-03
749,Mozzarella (Amalgamated Dairies Ltd.),Amalgamated Dairies,PE,Industrial,http://www.adl.ca,0.00,0.00,N/A,N/A,N/A,2 Months,false,Semi-soft Cheese,Cow,Pasteurized,N/A,2016-02-03
750,Brick (Amalgamated Dairies Ltd),Amalgamated Dairies,PE,Industrial,http://www.adl.ca,0.00,0.00,N/A,N/A,N/A,2 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
751,Colby (Amalgamated Dairies Ltd.),Amalgamated Dairies,PE,Industrial,http://www.adl.ca,0.00,0.00,N/A,N/A,N/A,2 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
752,Cheddar (Amalgamated Dairies Limited),Amalgamated Dairies,PE,Industrial,http://www.adl.ca,0.00,0.00,1st place recipient at the Central Ontario Cheese Makers Association 81st annual convention and British Empire,"Mild, mild light, Med, old and extra old",N/A,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
753,Monterey Jack (Amalgamated Dairies),Amalgamated Dairies,PE,Industrial,http://www.adl.ca,0.00,0.00,N/A,N/A,White and Orange,2 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
754,Farmers (Amalgamated Dairies Ltd),Amalgamated Dairies,PE,Industrial,http://www.adl.ca,0.00,0.00,N/A,N/A,N/A,2 Months,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
756,Mozzarella (Farmers Cooporative Dairies),Farmers Cooperative Dairy,NS,Industrial,http://www.farmersdairy.ca,25.00,44.00,N/A,N/A,N/A,N/A,false,Semi-soft Cheese,Cow,Pasteurized,No Rind,2016-02-03
757,Cheddar (Foxhill Cheese),Foxhill Cheese Cheesehouse,NS,Farmstead,http://www.foxhillcheesehouse.com,0.00,0.00,N/A,"Blueberry, cranberry",N/A,2 Years,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
758,Gouda (Foxhill Cheese),Foxhill Cheese Cheesehouse,NS,Farmstead,http://www.foxhillcheesehouse.com,0.00,0.00,N/A,"Cumin, Herbs and Garlic, Smoked, Jalapeno","Old, Medium",N/A,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
759,Havarti (Foxhill Cheese),Foxhill Cheese Cheesehouse,NS,Farmstead,http://www.foxhillcheesehouse.com,0.00,0.00,N/A,"Fenugreek, Dill and Chives",Mild and Creamy,N/A,false,Semi-soft Cheese,Cow,Pasteurized,N/A,2016-02-03
760,Quark (Foxhill Cheese),Foxhill Cheese Cheesehouse,NS,Farmstead,http://www.foxhillcheesehouse.com,0.00,0.00,N/A,"Curry, Garlic, Lemon Dill, Italian Blend, Cranberry",N/A,N/A,false,Fresh Cheese,Cow,Pasteurized,No Rind,2016-02-03
761,Feta (Foxhill Cheese),Foxhill Cheese Cheesehouse,NS,Farmstead,http://www.foxhillcheesehouse.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Soft Cheese,Cow,Pasteurized,N/A,2016-02-03
762,Parmesran (Foxhill Cheese),Foxhill Cheese Cheesehouse,NS,Farmstead,http://www.foxhillcheesehouse.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Hard Cheese,Cow,Pasteurized,N/A,2016-02-03
763,Blue Velvet,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,Sharp,Creamy,N/A,false,Veined Cheeses,Goat,Pasteurized,N/A,2016-02-03
764,Misty,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,Covered with ash,N/A,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
765,Heavenly,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
766,Moonlight,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,Aged on grape leaf,N/A,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
767,Picollo,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,Mushroom flavour,N/A,N/A,false,Soft Cheese,Goat,Pasteurized,N/A,2016-02-03
768,Chabichou,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Goat,Pasteurized,N/A,2016-02-03
769,Chevry,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,"Plain, Dill and Onion, Provence Herbs",Creamy,N/A,false,Fresh Cheese,Goat,Pasteurized,N/A,2016-02-03
770,Feta (Carmelis),Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Soft Cheese,Goat,Pasteurized,No Rind,2016-02-03
771,Carmel,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,Comparable to an aged Cheddar/Parmesan,1 Year,false,Hard Cheese,Goat,Pasteurized,N/A,2016-02-03
772,Lior,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,Comparable to Asiago and Manchego,2 Years,false,Hard Cheese,Goat,Pasteurized,N/A,2016-02-03
773,Lior Special Edition,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,Riddled with whole peppercorn and surrounded by bay leaves,1 Year,false,Hard Cheese,Goat,Pasteurized,N/A,2016-02-03
774,Vintage,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,Soaked for five days in Pinot Noir wine,1 Year,false,Firm Cheese,Goat,Thermised,N/A,2016-02-03
775,Tuscany,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,Plain ou smoked,"Comparable to Swiss, Provolone and Mozzarella cheeses",9 Months,false,Firm Cheese,Goat,Pasteurized,N/A,2016-02-03
776,Goatgonzola,Carmelis Goat Cheese,BC,Artisan,http://www.carmelisgoatcheese.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Veined Cheeses,Goat,Pasteurized,N/A,2016-02-03
777,Okanagan Double Cream Camembert,Poplar Grove Cheese,BC,Artisan,http://www.poplargrove.ca/cheese,33.00,48.00,N/A,White truffles,Creamy,N/A,false,Soft Cheese,Cow,Pasteurized,N/A,2016-02-03
778,Tiger Blue,Poplar Grove Cheese,BC,Artisan,http://www.poplargrove.ca/cheese,28.00,47.00,N/A,Intense Blue Flavour,N/A,N/A,false,Veined Cheeses,Cow,Pasteurized,N/A,2016-02-03
779,Naramata Bench Blue,Poplar Grove Cheese,BC,Artisan,http://www.poplargrove.ca/cheese,27.00,54.00,N/A,Mild,Creamy,N/A,false,Veined Cheeses,Cow,Pasteurized,N/A,2016-02-03
780,Harvest Moon,Poplar Grove Cheese,BC,Artisan,http://www.poplargrove.ca/cheese,25.00,54.00,N/A,N/A,N/A,N/A,false,Soft Cheese,Cow,Pasteurized,Washed Rind,2016-02-03
781,Paneer (Punjab Milk Foods),Punjab Milk Foods,BC,Industrial,http://www.nanakfoods.com,0.00,0.00,N/A,various flavours,N/A,N/A,false,Soft Cheese,Cow,Pasteurized,N/A,2016-02-03
783,Cheddar (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,0.00,0.00,Also available in raw milk,"Mild, Medium, Aged, extra old",White or couloured,N/A,false,Firm Cheese,Cow,Thermised,No Rind,2016-02-03
784,Feta (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,0.00,0.00,N/A,"Salty, with Spices",N/A,N/A,false,Soft Cheese,Goat,Thermised,N/A,2016-02-03
785,Chevre (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Soft Cheese,Goat,Thermised,N/A,2016-02-03
786,Swiss (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,31.00,40.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Goat,Thermised,No Rind,2016-02-03
787,Havarti (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,34.00,41.00,N/A,N/A,N/A,N/A,false,Semi-soft Cheese,Goat,Thermised,N/A,2016-02-03
788,Edam (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,31.00,40.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Goat,Thermised,N/A,2016-02-03
790,Parmesan (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,26.00,32.00,N/A,N/A,N/A,N/A,false,Hard Cheese,Cow,Thermised,N/A,2016-02-03
791,Monterey Jack (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,28.00,40.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Goat,Thermised,N/A,2016-02-03
792,Swiss Alpine Meadow (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,31.00,40.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Goat,Thermised,No Rind,2016-02-03
794,Mozzarella (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,31.00,38.00,N/A,N/A,N/A,N/A,false,Semi-soft Cheese,Goat,Thermised,N/A,2016-02-03
795,Gouda (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,28.00,40.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Goat,Thermised,N/A,2016-02-03
796,Brick (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,34.00,41.00,N/A,N/A,N/A,N/A,false,Firm Cheese,Goat,Thermised,N/A,2016-02-03
799,Quark (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,0.00,0.00,N/A,N/A,N/A,N/A,false,Fresh Cheese,Goat,Thermised,N/A,2016-02-03
800,Chevre (Village Cheese),Village Cheese Company,BC,Artisan,http://www.villagecheese.com,0.00,0.00,N/A,Plain,N/A,N/A,false,Fresh Cheese,Goat,Thermised,N/A,2016-02-03
802,Mozzarella (D. Dutchmen Dairy),D. Dutchmen Dairy,BC,Artisan,http://www.dutchmendairy.ca,0.00,0.00,N/A,N/A,Partly Skimmed,N/A,false,Semi-soft Cheese,Cow,Pasteurized,No Rind,2016-02-03
803,Cheddar (D. Dutchmen Dairy),D. Dutchmen Dairy,BC,Artisan,http://www.dutchmendairy.ca,0.00,0.00,N/A,"Mild, Medium, Aged, spiced",N/A,N/A,false,Firm Cheese,Cow,Pasteurized,No Rind,2016-02-03
804,Asiago (Tre Stelle),Tre Stelle (Arla Foods),ON,Industrial,http://www.trestelle.ca/english/,30.00,39.00,N/A,"Delicate, sweet and nutty flavour",N/A,1 Year,false,Firm Cheese,Cow,Pasteurized,N/A,2016-02-03
806,Château Versailles Brie (Tre Stelle),Tre Stelle (Arla Foods),ON,Industrial,http://www.trestelle.ca/english/,28.00,50.00,Awarded 1st place in the category of brie and Camembert in the 2000 World Cheese Championship and a finalist in 2000 Canadian Grand Prix.,Buttery taste.,N/A,N/A,false,Soft Cheese,Cow,Pasteurized,Bloomy Rind,2016-02-03
